timestamp,page,ram_used_gb,ram_percent,gpu_used_mb,gpu_total_mb,gpu_free_mb
2026-01-26T14:20:50.844660,341,4.45,18.2,149,1244,187
2026-01-26T14:20:52.010636,342,4.40,18.0,149,1244,187
2026-01-26T14:20:53.103293,343,4.36,17.8,149,1244,187
2026-01-26T14:20:54.180820,344,4.32,17.7,149,1244,187
2026-01-26T14:20:55.262510,345,4.28,17.5,149,1244,187
2026-01-26T14:20:56.296129,346,4.23,17.3,149,1244,187
2026-01-26T14:21:02.388824,347,4.38,17.9,149,1244,187
2026-01-26T14:21:03.499657,348,4.31,17.6,149,1244,187
2026-01-26T14:21:04.596219,349,4.27,17.5,149,1244,187
2026-01-26T14:21:05.690923,350,4.24,17.3,149,1244,187
2026-01-26T14:21:06.728053,351,4.19,17.1,149,1244,187
2026-01-26T14:21:11.941622,352,4.19,17.1,149,1244,187
2026-01-26T14:21:13.088442,353,4.14,16.9,149,1244,187
2026-01-26T14:21:14.213797,354,4.10,16.8,149,1244,187
2026-01-26T14:21:19.354886,355,4.17,17.1,149,1244,187
2026-01-26T14:21:20.433798,356,4.17,17.1,149,1244,187
2026-01-26T14:21:21.517537,357,4.13,16.9,149,1244,187
2026-01-26T14:21:22.608759,358,4.08,16.7,149,1244,187
2026-01-26T14:21:27.534083,359,4.24,17.3,149,1244,187
2026-01-26T14:21:28.556926,360,4.23,17.3,149,1244,187
2026-01-26T14:21:39.881917,361,4.36,17.8,149,1244,187
2026-01-26T14:21:41.009966,362,4.35,17.8,149,1244,187
2026-01-26T14:21:42.129749,363,4.30,17.6,149,1244,187
2026-01-26T14:21:43.257794,364,4.27,17.4,149,1244,187
2026-01-26T14:21:44.354522,365,4.22,17.3,149,1244,187
2026-01-26T14:21:45.473510,366,4.18,17.1,149,1244,187
2026-01-26T14:21:46.616185,367,4.14,16.9,149,1244,187
2026-01-26T14:21:47.604628,368,4.20,17.2,149,1244,187
2026-01-26T14:21:57.442167,369,4.61,18.9,149,1244,187
2026-01-26T14:21:58.586293,370,4.63,18.9,149,1244,187
2026-01-26T14:21:59.678949,371,4.58,18.7,149,1244,187
2026-01-26T14:22:00.784435,372,4.54,18.6,149,1244,187
2026-01-26T14:22:01.906599,373,4.50,18.4,149,1244,187
2026-01-26T14:22:03.000233,374,4.46,18.2,149,1244,187
2026-01-26T14:22:04.099341,375,4.42,18.1,149,1244,187
2026-01-26T14:22:05.213805,376,4.38,17.9,149,1244,187
2026-01-26T14:22:06.324446,377,4.33,17.7,149,1244,187
2026-01-26T14:22:07.467946,378,4.29,17.6,149,1244,187
2026-01-26T14:22:08.567528,379,4.24,17.4,149,1244,187
2026-01-26T14:22:09.684539,380,4.21,17.2,149,1244,187
2026-01-26T14:22:10.825287,381,4.18,17.1,149,1244,187
2026-01-26T14:22:11.917431,382,4.15,17.0,149,1244,187
2026-01-26T14:22:13.007208,383,4.10,16.8,149,1244,187
2026-01-26T14:22:25.928451,384,5.00,20.5,149,1244,187
2026-01-26T14:22:27.016820,385,5.01,20.5,149,1244,187
2026-01-26T14:22:28.116059,386,4.97,20.3,149,1244,187
2026-01-26T14:22:29.206568,387,4.93,20.2,149,1244,187
2026-01-26T14:22:30.295409,388,4.89,20.0,149,1244,187
2026-01-26T14:22:31.394038,389,4.84,19.8,149,1244,187
2026-01-26T14:22:32.483177,390,4.81,19.7,149,1244,187
2026-01-26T14:22:33.591382,391,4.76,19.5,149,1244,187
2026-01-26T14:22:34.681707,392,4.73,19.3,149,1244,187
2026-01-26T14:22:35.810640,393,4.69,19.2,149,1244,187
2026-01-26T14:22:36.916066,394,4.65,19.0,149,1244,187
2026-01-26T14:22:38.028193,395,4.61,18.9,149,1244,187
2026-01-26T14:22:39.148677,396,4.56,18.7,149,1244,187
2026-01-26T14:22:40.255842,397,4.52,18.5,149,1244,187
2026-01-26T14:22:41.359991,398,4.48,18.3,149,1244,187
2026-01-26T14:22:42.490192,399,4.45,18.2,149,1244,187
2026-01-26T14:22:43.594469,400,4.40,18.0,149,1244,187
2026-01-26T14:22:44.681446,401,4.36,17.8,149,1244,187
2026-01-26T14:22:45.800161,402,4.31,17.6,149,1244,187
2026-01-26T14:22:46.853553,403,4.28,17.5,149,1244,187
2026-01-26T14:22:54.388105,404,4.46,18.2,149,1244,187
2026-01-26T14:22:55.465945,405,4.46,18.2,149,1244,187
2026-01-26T14:22:56.588412,406,4.42,18.1,149,1244,187
